UUN,Age,Region,Gender,Nationality,Programme,Year,Status,Route,Year 1 Courses,Year 2 Courses,Year 3 Courses
S2614111,24,England,Female,United Kingdom,PTMSCCLITR1U,1,New entrant not yet matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'",,
S2273862,28,England,Male,Greece,PTMSCCLITR1U,2,Fully matriculated,,,"'MCLM11054 Pharmacovigilance','MCLM11080 Trial Designs'",
S2608204,28,England,Female,Nigeria,PTMSCCLITR1U,1,New entrant not yet matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'",,
S2262270,45,England,Female,New Zealand,PTMSCCLITR1U,2,Fully matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics','MCLM11021 Monitoring and Audit (20 credit)'","'MCLM11027 Patient and Public Involvement (PPI)','MCLM11054 Pharmacovigilance','MCLM11080 Trial Designs'",'MCLM11026 MScCT Dissertation'
S2267499,42,England,Female,United Kingdom,PTMSCCLITR1U,2,Fully matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics','MCLM11021 Monitoring and Audit (20 credit)'","'MCLM11072 Introduction to Health Economics and Applied Health Economics','MCLM11020 Principles of Clinical Trial Management','MCLM11080 Trial Designs'",'MCLM11026 MScCT Dissertation'
S2134088,38,South Africa,Female,South Africa,PTMSCCLITR1U,3,Fully matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'","'MCLM11072 Introduction to Health Economics and Applied Health Economics','MCLM11027 Patient and Public Involvement (PPI)','MCLM11080 Trial Designs'",'MCLM11026 MScCT Dissertation'
S2257526,38,United States of America,Female,United States,PTMSCCLITR1U,2,Fully matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics','MCLM11021 Monitoring and Audit (20 credit)'","'MCLM11027 Patient and Public Involvement (PPI)','MCLM11020 Principles of Clinical Trial Management','MCLM11080 Trial Designs'",'MCLM11026 MScCT Dissertation'
S1471678,38,England,Female,Uganda,PTMSCCLITR1U,1,New entrant not yet matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'",,
S2612770,31,Eritrea,Female,Eritrea,PTMSCCLITR1U,1,New entrant not yet matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'",,
S9525387,46,United States of America,Male,United Kingdom,PTMSCCLITR1U,1,Fully matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics','MCLM11021 Monitoring and Audit (20 credit)'","'HEIN11060 Health Data Science','GLHE11017 Introduction to Qualitative Research Methods','MCLM11054 Pharmacovigilance','MCLM11080 Trial Designs'",
S2448443,44,Scotland,Female,United Kingdom,PTMSCCLITR1U,1,Fully matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics','MCLM11021 Monitoring and Audit (20 credit)'","'MCLM11027 Patient and Public Involvement (PPI)','MCLM11020 Principles of Clinical Trial Management','MCLM11080 Trial Designs'",
S2592568,35,INDIA,Male,India,PTMSCCLITR1U,1,New entrant not yet matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'",,
S1887414,38,Nepal,Male,Nepal,PTMSCCLITR1U,3,Successfully achieved an award,,"'MCLM11024 Clinical Trials Foundation Course','MCLM11019 Good Clinical Practice, Ethics and Regulatory Issues','MCLM11002 Introduction to Clinical Trials'","'MCLM11072 Introduction to Health Economics and Applied Health Economics','MCLM11054 Pharmacovigilance','MCLM11080 Trial Designs'",'MCLM11026 MScCT Dissertation'
S2272240,38,Bahrain,Male,Bahrain,PTMSCCLITR1U,2,Fully matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics','MCLM11021 Monitoring and Audit (20 credit)'","'MCLM11072 Introduction to Health Economics and Applied Health Economics','MCLM11054 Pharmacovigilance','MCLM11080 Trial Designs'",'MCLM11026 MScCT Dissertation'
S2264234,39,England,Female,Burma [Myanmar],PTMSCCLITR1U,2,Fully matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics','MCLM11021 Monitoring and Audit (20 credit)'","'MCLM11072 Introduction to Health Economics and Applied Health Economics','MCLM11054 Pharmacovigilance','MCLM11080 Trial Designs'",'MCLM11026 MScCT Dissertation'
S2137805,29,India,Female,India,PTMSCCLITR1U,3,Successfully achieved an award,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'","'MCLM11072 Introduction to Health Economics and Applied Health Economics','MCLM11027 Patient and Public Involvement (PPI)','MCLM11080 Trial Designs'",'MCLM11026 MScCT Dissertation'
S2618262,38,BANGLADESH,Male,Bangladesh,PTMSCCLITR1U,1,New entrant not yet matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'",,
S2617896,30,WALES,Female,United Kingdom,PTMSCCLITR1U,1,New entrant not yet matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'",,
S1898145,34,England,Female,United Kingdom,PTMSCCLITR1U,,Interrupted SERIOUS HEALTH REASONS (AVOID NSS/FINANCE CONTACT),,"'MCLM11024 Clinical Trials Foundation Course','MCLM11019 Good Clinical Practice, Ethics and Regulatory Issues','MCLM11002 Introduction to Clinical Trials'","'MCLM11021 Monitoring and Audit (20 credit)','MCLM11020 Principles of Clinical Trial Management','MCLM11022 Study Design (20 Credit)'",'MCLM11026 MScCT Dissertation'
S1790639,48,England,Female,United Kingdom,PTMSCCLITR1U,6,Fully matriculated,,"'MCLM11024 Clinical Trials Foundation Course','MCLM11019 Good Clinical Practice, Ethics and Regulatory Issues','MCLM11002 Introduction to Clinical Trials'","'MCLM11021 Monitoring and Audit (20 credit)','MCLM11020 Principles of Clinical Trial Management','MCLM11022 Study Design (20 Credit)'",
S2137324,46,England,Female,United Kingdom,PTMSCCLITR1U,3,Fully matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'","'MCLM11072 Introduction to Health Economics and Applied Health Economics','MCLM11027 Patient and Public Involvement (PPI)','MCLM11080 Trial Designs'",'MCLM11026 MScCT Dissertation'
S1789502,51,England,Male,United Kingdom,PTMSCCLITR1U,5,Fully matriculated,,"'MCLM11024 Clinical Trials Foundation Course','MCLM11019 Good Clinical Practice, Ethics and Regulatory Issues','MCLM11002 Introduction to Clinical Trials'","'MCLM11020 Principles of Clinical Trial Management','MCLM11022 Study Design (20 Credit)'",'MCLM11026 MScCT Dissertation'
S2609767,30,ZAMBIA,Male,Zambia,PTMSCCLITR1U,1,New entrant not yet matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'",,
S0907078,32,England,Female,United Kingdom,PTMSCCLITR1U,2,Fully matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics','MCLM11021 Monitoring and Audit (20 credit)'","'MCLM11027 Patient and Public Involvement (PPI)','MCLM11020 Principles of Clinical Trial Management','MCLM11080 Trial Designs'",'MCLM11026 MScCT Dissertation'
S2612673,43,NAMIBIA,Male,Congo (Democratic Republic) [formerly Zaire],PTMSCCLITR1U,1,New entrant not yet matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'",,
S2619002,35,INDIA,Male,India,PTMSCCLITR1U,1,New entrant not yet matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'",,
S2271029,34,Switzerland,Male,Switzerland,PTMSCCLITR1U,2,Fully matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics','MCLM11021 Monitoring and Audit (20 credit)'","'MCLM11072 Introduction to Health Economics and Applied Health Economics','MCLM11020 Principles of Clinical Trial Management','MCLM11080 Trial Designs'",'MCLM11026 MScCT Dissertation'
S2137292,38,Belgium,Female,Vietnam [Viet Nam],PTMSCCLITR1U,3,Successfully achieved an award,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'","'MCLM11072 Introduction to Health Economics and Applied Health Economics','MCLM11054 Pharmacovigilance','MCLM11080 Trial Designs'",'MCLM11026 MScCT Dissertation'
S2452469,26,Malawi,Female,Malawi,PTMSCCLITR1U,1,Fully matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics','MCLM11021 Monitoring and Audit (20 credit)'","'MCLM11072 Introduction to Health Economics and Applied Health Economics','MCLM11054 Pharmacovigilance','MCLM11080 Trial Designs'",
S2452192,28,Scotland,Female,Greece,PTMSCCLITR1U,1,Fully matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics','MCLM11021 Monitoring and Audit (20 credit)'","'HEIN11060 Health Data Science','GLHE11017 Introduction to Qualitative Research Methods','MCLM11054 Pharmacovigilance','MCLM11080 Trial Designs'",
S2464982,45,England,Female,United Kingdom,PTMSCCLITR1U,1,Fully matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics','MCLM11021 Monitoring and Audit (20 credit)'","'MCLM11027 Patient and Public Involvement (PPI)','MCLM11020 Principles of Clinical Trial Management','MCLM11080 Trial Designs'",
S2131398,26,England,Female,United Kingdom,PTMSCCLITR1U,3,Successfully achieved an award,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'","'MCLM11072 Introduction to Health Economics and Applied Health Economics','MCLM11027 Patient and Public Involvement (PPI)','MCLM11080 Trial Designs'",'MCLM11026 MScCT Dissertation'
S2426577,28,Canada,Male,Canada,PTMSCCLITR1U,1,Fully matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics','MCLM11021 Monitoring and Audit (20 credit)'","'MCLM11072 Introduction to Health Economics and Applied Health Economics','MCLM11054 Pharmacovigilance','MCLM11080 Trial Designs'",
S2137054,28,England,Female,Jordan,PTMSCCLITR1U,,Interrupted FINANCIAL REASONS (OTHER THAN IN DEBT),,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'","'MCLM11021 Monitoring and Audit (20 credit)','MCLM11027 Patient and Public Involvement (PPI)','MCLM11080 Trial Designs'",'MCLM11026 MScCT Dissertation'
S2612484,28,England,Male,Nigeria,PTMSCCLITR1U,1,New entrant not yet matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'",,
S2465614,30,Kenya,Female,Kenya,PTMSCCLITR1U,1,Fully matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics','MCLM11021 Monitoring and Audit (20 credit)'","'MCLM11023 Clinical Trials in Special Populations (20 credit)','MCLM11027 Patient and Public Involvement (PPI)','MCLM11054 Pharmacovigilance'",
S2449485,23,South Africa,Male,South Africa,PTMSCCLITR1U,1,Fully matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics','MCLM11021 Monitoring and Audit (20 credit)'","'HEIN11060 Health Data Science','GLHE11017 Introduction to Qualitative Research Methods','MCLM11020 Principles of Clinical Trial Management','MCLM11080 Trial Designs'",
S2404423,37,England,Male,Kenya,PTMSCCLITR1U,1,Fully matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics','MCLM11080 Trial Designs'","'MCLM11072 Introduction to Health Economics and Applied Health Economics','MCLM11054 Pharmacovigilance','MCLM11080 Trial Designs'",
S2573363,35,Slovakia,Male,Slovakia,PTMSCCLITR1U,1,New entrant not yet matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'",,
S2462524,30,England,Male,Hong Kong,PTMSCCLITR1U,1,Fully matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics','MCLM11021 Monitoring and Audit (20 credit)'","'HEIN11060 Health Data Science','GLHE11017 Introduction to Qualitative Research Methods','MCLM11020 Principles of Clinical Trial Management','MCLM11080 Trial Designs'",
S2615053,26,Vietnam (Viet Nam),Female,Vietnam [Viet Nam],PTMSCCLITR1U,1,New entrant not yet matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'",,
S2410801,27,"Italy, includes Sardinia, Sicily",Male,"Italy (includes Sardinia, Sicily)",PTMSCCLITR1U,1,Fully matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics','MCLM11021 Monitoring and Audit (20 credit)'","'MCLM11072 Introduction to Health Economics and Applied Health Economics','MCLM11020 Principles of Clinical Trial Management','MCLM11080 Trial Designs'",
S2610958,38,Canada,Female,Canada,PTMSCCLITR1U,1,New entrant not yet matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'",,
S2115145,50,Wales,Female,United Kingdom,PTMSCCLITR1U,,Interrupted CARING RESPONSIBILITIES,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'","'MCLM11072 Introduction to Health Economics and Applied Health Economics','MCLM11020 Principles of Clinical Trial Management','MCLM11080 Trial Designs'",'MCLM11026 MScCT Dissertation'
S2129992,27,England,Male,United Kingdom,PTMSCCLITR1U,3,Successfully achieved an award,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'","'MCLM11072 Introduction to Health Economics and Applied Health Economics','MCLM11054 Pharmacovigilance','MCLM11080 Trial Designs'",'MCLM11026 MScCT Dissertation'
S2616080,28,England,Female,India,PTMSCCLITR1U,1,New entrant not yet matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'",,
S2444167,30,"Italy, includes Sardinia, Sicily",Female,"Italy (includes Sardinia, Sicily)",PTMSCCLITR1U,1,Fully matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics','MCLM11021 Monitoring and Audit (20 credit)'","'MCLM11027 Patient and Public Involvement (PPI)','MCLM11020 Principles of Clinical Trial Management','MCLM11080 Trial Designs'",
S2131958,36,Madagascar,Male,Madagascar,PTMSCCLITR1U,3,Successfully achieved an award,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'","'MCLM11072 Introduction to Health Economics and Applied Health Economics','MCLM11054 Pharmacovigilance','MCLM11080 Trial Designs'",'MCLM11026 MScCT Dissertation'
S2266566,34,England,Female,India,PTMSCCLITR1U,2,Fully matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics','MCLM11021 Monitoring and Audit (20 credit)'","'MCLM11027 Patient and Public Involvement (PPI)','MCLM11020 Principles of Clinical Trial Management','MCLM11080 Trial Designs'",'MCLM11026 MScCT Dissertation'
S2273155,40,England,Male,United Kingdom,PTMSCCLITR1U,2,Fully matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics','MCLM11021 Monitoring and Audit (20 credit)'","'MCLM11072 Introduction to Health Economics and Applied Health Economics','MCLM11054 Pharmacovigilance','MCLM11080 Trial Designs'",'MCLM11026 MScCT Dissertation'
S2465190,31,England,Female,United Kingdom,PTMSCCLITR1U,1,Fully matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics','MCLM11021 Monitoring and Audit (20 credit)'","'HEIN11060 Health Data Science','GLHE11017 Introduction to Qualitative Research Methods','MCLM11054 Pharmacovigilance','MCLM11080 Trial Designs'",
S2432150,34,Germany,Female,Hungary,PTMSCCLITR1U,1,Fully matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics','MCLM11021 Monitoring and Audit (20 credit)'","'MCLM11027 Patient and Public Involvement (PPI)','MCLM11020 Principles of Clinical Trial Management','MCLM11080 Trial Designs'",
S2138303,48,Canada,Male,Canada,PTMSCCLITR1U,3,Successfully achieved an award,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'","'MCLM11072 Introduction to Health Economics and Applied Health Economics','MCLM11027 Patient and Public Involvement (PPI)','MCLM11080 Trial Designs'",'MCLM11026 MScCT Dissertation'
S2610484,35,Mexico,Male,Mexico,PTMSCCLITR1U,1,New entrant not yet matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'",,
S1787483,41,Ghana,Male,Ghana,PTMSCCLITR1U,1,New entrant not yet matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'",,
S2616103,27,Namibia,Male,Namibia,PTMSCCLITR1U,1,New entrant not yet matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'",,
S2615902,29,Germany,Female,Brazil,PTMSCCLITR1U,1,New entrant not yet matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'",,
S1406347,30,Ireland,Male,Singapore,PTMSCCLITR1U,2,Fully matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics','MCLM11021 Monitoring and Audit (20 credit)'","'MCLM11072 Introduction to Health Economics and Applied Health Economics','MCLM11020 Principles of Clinical Trial Management','MCLM11080 Trial Designs'",'MCLM11026 MScCT Dissertation'
S2134704,43,Chile,Male,Chile,PTMSCCLITR1U,3,Fully matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'","'MCLM11072 Introduction to Health Economics and Applied Health Economics','MCLM11027 Patient and Public Involvement (PPI)','MCLM11080 Trial Designs'",'MCLM11026 MScCT Dissertation'
S2273241,40,United Arab Emirates,Female,Romania,PTMSCCLITR1U,2,Fully matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics','MCLM11021 Monitoring and Audit (20 credit)'","'MCLM11027 Patient and Public Involvement (PPI)','MCLM11020 Principles of Clinical Trial Management','MCLM11080 Trial Designs'",'MCLM11026 MScCT Dissertation'
S2618863,21,ANTRIM,Female,United Kingdom,PTMSCCLITR1U,1,New entrant not yet matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'",,
S2521365,26,Kenya,Female,Kenya,PTMSCCLITR1U,1,New entrant not yet matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'",,
S2272986,30,Australia,Female,Malaysia,PTMSCCLITR1U,2,Fully matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics','MCLM11021 Monitoring and Audit (20 credit)'","'MCLM11072 Introduction to Health Economics and Applied Health Economics','MCLM11020 Principles of Clinical Trial Management','MCLM11080 Trial Designs'",'MCLM11026 MScCT Dissertation'
S2137512,33,Scotland,Female,United Kingdom,PTMSCCLITR1U,3,Interrupted OTHER REASON,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'","'MCLM11072 Introduction to Health Economics and Applied Health Economics','MCLM11054 Pharmacovigilance','MCLM11080 Trial Designs'",'MCLM11026 MScCT Dissertation'
S2465561,23,Canada,Female,Canada,PTMSCCLITR1U,1,Fully matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics','MCLM11021 Monitoring and Audit (20 credit)'","'HEIN11060 Health Data Science','GLHE11017 Introduction to Qualitative Research Methods','MCLM11020 Principles of Clinical Trial Management','MCLM11080 Trial Designs'",
S2561282,26,Ireland,Male,Ireland,PTMSCCLITR1U,1,New entrant not yet matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'",,
S2499469,28,Uganda,Male,Uganda,PTMSCCLITR1U,1,New entrant not yet matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'",,
S1612707,26,United States of America,Female,United Kingdom,PTMSCCLITR1U,1,New entrant not yet matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'",,
S2465304,30,Finland,Female,Finland,PTMSCCLITR1U,1,Fully matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics','MCLM11021 Monitoring and Audit (20 credit)'","'HEIN11060 Health Data Science','GLHE11017 Introduction to Qualitative Research Methods','MCLM11054 Pharmacovigilance','MCLM11080 Trial Designs'",
S2464870,37,Mexico,Female,China,PTMSCCLITR1U,1,Fully matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics','MCLM11080 Trial Designs'",,
S2557918,30,England,Male,Nigeria,PTMSCCLITR1U,1,New entrant not yet matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'",,
S1141536,28,Scotland,Female,United Kingdom,PTPGCCLITR1U,1,Interrupted CARING RESPONSIBILITIES,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'",,
S2616077,36,IRELAND,Female,Pakistan,PTPGCCLITR1U,1,New entrant not yet matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'",,
S2464309,25,Germany,Female,United Kingdom,PTPGCCLITR1U,1,New entrant not yet matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'",,
S2460482,28,Malta,Female,Malaysia,PTPGCCLITR1U,1,Successfully achieved an award,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics','MCLM11080 Trial Designs'",,
S2607801,36,England,Female,United Kingdom,PTPGCCLITR1U,1,New entrant not yet matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'",,
S2598128,28,ENGLAND,Female,India,PTPGCCLITR1U,1,New entrant not yet matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'",,
S2273254,31,England,Female,United Kingdom,PTPGDCLITR1U,2,Fully matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics','MCLM11021 Monitoring and Audit (20 credit)'","'MCLM11027 Patient and Public Involvement (PPI)','MCLM11020 Principles of Clinical Trial Management','MCLM11080 Trial Designs'",
S2273262,52,Scotland,Female,United Kingdom,PTPGDCLITR1U,2,Fully matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics','MCLM11021 Monitoring and Audit (20 credit)'","'MCLM11027 Patient and Public Involvement (PPI)','MCLM11020 Principles of Clinical Trial Management','MCLM11080 Trial Designs'",
S2465549,26,England,Female,United Kingdom,PTPGDCLITR1U,1,Fully matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics','MCLM11021 Monitoring and Audit (20 credit)'",,
S2528652,25,England,Male,"Gambia, The",PTPGDCLITR1U,1,New entrant not yet matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'",,
S2614287,27,Czech Republic,Female,Slovakia,PTPGDCLITR1U,1,New entrant not yet matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'",,
S2334236,33,Scotland,Female,United Kingdom,PTPGDCLITR1U,2,Fully matriculated,,'MCLM11020 Principles of Clinical Trial Management',"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'",
S2497846,29,ENGLAND,Female,South Africa,PTPGDCLITR1U,1,New entrant not yet matriculated,,"'MCLM11078 Ethical and Regulatory Considerations in Clinical Trials','MCLM11079 Introduction to Randomised Controlled Trials and Medical Statistics'",,
S2590930,29,Afghanistan,Male,Afghanistan,PTPGDHEALT1P,1,New entrant not yet matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health','PUHR11081 Public Policy for Health'",,
S0565777,36,Scotland,Female,United Kingdom,PTMPHEALTH1P,1,Fully matriculated,,'PUHR11001 Health Promotion',"'PUHR11049 Dissertation (Public Health)','PUHR11033 Introduction to Qualitative Research','PUHR11038 Introduction to Systematic Reviews','PUHR11115 Research Design for Public Health'",
